donation_id,sender_name_raw,sender_email_raw,amount,payment_method,platform,message_raw,label_multiclass,text_for_model
sample_benign_0032,PenontonSetia,user0032@example.com,27500,QRIS,Saweria,kok bisa jago gitu sih nih buat kopi,benign,PenontonSetia kok bisa jago gitu sih nih buat kopi penontonsetia kok bisa jago gitu sih nih buat kopi
sample_benign_0033,SahabatStream,user0033@example.com,30000,E-Wallet,DemoPay,Akhirnya bisa nonton lagi semoga target tercapai!,benign,SahabatStream Akhirnya bisa nonton lagi semoga target tercapai! sahabatstream akhirnya bisa nonton lagi semoga target tercapaii
sample_benign_0034,Raka,user0034@example.com,32500,Virtual Account,Kondomatur,ggwp bang no debat #134,benign,Raka ggwp bang no debat #134 raka ggwp bang no debat #134
sample_benign_0035,TemanLive,user0035@example.com,35000,Transfer,Trakteer,Bang jangan lupa makan request baca chat dong,benign,TemanLive Bang jangan lupa makan request baca chat dong temanlive bang jangan lupa makan request baca chat dong
sample_benign_0036,Dina,user0036@example.com,37500,QRIS,Saweria,💙 thx bang udah live plis lanjut 💙,benign,Dina 💙 thx bang udah live plis lanjut 💙 dina thx bang udah live plis lanjut
sample_benign_0037,Mira,user0037@example.com,40000,E-Wallet,DemoPay,Kontennya rapi untuk beli snack,benign,Mira Kontennya rapi untuk beli snack mira kontennya rapi untuk beli snack
sample_benign_0038,Salsa,user0038@example.com,42500,Virtual Account,Kondomatur,lag dikit tapi aman beneran bagus,benign,Salsa lag dikit tapi aman beneran bagus salsa lag dikit tapi aman beneran bagus
sample_benign_0039,TimSupport,user0039@example.com,45000,Transfer,Trakteer,GG maennya semoga harimu lancar,benign,TimSupport GG maennya semoga harimu lancar timsupport gg maennya semoga harimu lancar
sample_benign_0040,Budi,user0040@example.com,47500,QRIS,Saweria,anjay keren bgt no debat sih cuy haha,benign,Budi anjay keren bgt no debat sih cuy haha budi anjay keren bgt no debat sih cuy haha
sample_benign_0041,Nina,user0041@example.com,50000,E-Wallet,DemoPay,Makasih hiburannya bwt support live hari ini,benign,Nina Makasih hiburannya bwt support live hari ini nina makasih hiburannya bwt support live hari ini
sample_benign_0042,KopiSore,user0042@example.com,52500,Virtual Account,Kondomatur,✨ gua nonton dari awal nih deh mantap ✨,benign,KopiSore ✨ gua nonton dari awal nih deh mantap ✨ kopisore gua nonton dari awal nih deh mantap
sample_benign_0043,Fajar,user0043@example.com,55000,Transfer,Trakteer,Clip tadi lucu bangett lanjut konten positif,benign,Fajar Clip tadi lucu bangett lanjut konten positif fajar clip tadi lucu bangett lanjut konten positif
sample_benign_0044,Doni,user0044@example.com,57500,QRIS,Saweria,ez tapi tetep humble random tapi lucu!,benign,Doni ez tapi tetep humble random tapi lucu! doni ez tapi tetep humble random tapi lucui
sample_benign_0045,NontonSantai,user0045@example.com,60000,E-Wallet,DemoPay,wkwk Support kecil dari gw semoga target tercapai,benign,NontonSantai wkwk Support kecil dari gw semoga target tercapai nontonsantai wkwk support kecil dari gw semoga target tercapai
sample_benign_0046,AnakRank,user0046@example.com,62500,Virtual Account,Kondomatur,auto ngakak pas tadi dong baca chat,benign,AnakRank auto ngakak pas tadi dong baca chat anakrank auto ngakak pas tadi dong baca chat
sample_benign_0047,Ayu,user0047@example.com,65000,Transfer,Trakteer,Bantu sedikit ya request baca chat dong,benign,Ayu Bantu sedikit ya request baca chat dong ayu bantu sedikit ya request baca chat dong
sample_benign_0048,ViewerBaik,user0048@example.com,67500,QRIS,Saweria,gpp kalah yang penting fun ga boong,benign,ViewerBaik gpp kalah yang penting fun ga boong viewerbaik gpp kalah yang penting fun ga boong
sample_benign_0049,RuangChat,user0049@example.com,70000,E-Wallet,DemoPay,Request lagu dong untuk beli snack,benign,RuangChat Request lagu dong untuk beli snack ruangchat request lagu dong untuk beli snack
sample_benign_0050,Lia,user0050@example.com,10000,Virtual Account,Kondomatur,afk bentar tetep support otw nonton sampe selesai haha,benign,Lia afk bentar tetep support otw nonton sampe selesai haha lia afk bentar tetep support otw nonton sampe selesai haha
sample_benign_0051,Bagas,user0051@example.com,12500,Transfer,Trakteer,Kamera sudah jelas semoga harimu lancar #151,benign,Bagas Kamera sudah jelas semoga harimu lancar #151 bagas kamera sudah jelas semoga harimu lancar #151
sample_benign_0052,PenontonSetia,user0052@example.com,15000,QRIS,Saweria,kuy lanjut satu match lagi lah kok bisa,benign,PenontonSetia kuy lanjut satu match lagi lah kok bisa penontonsetia kuy lanjut satu match lagi lah kok bisa
sample_benign_0053,SahabatStream,user0053@example.com,17500,E-Wallet,DemoPay,Lanjutt sampai selesai bwt support live hari ini,benign,SahabatStream Lanjutt sampai selesai bwt support live hari ini sahabatstream lanjutt sampai selesai bwt support live hari ini
sample_benign_0054,Raka,user0054@example.com,20000,Virtual Account,Kondomatur,๑۞๑ mager tapi tetep nonton vibesnya enak ๑۞๑,benign,Raka ๑۞๑ mager tapi tetep nonton vibesnya enak ๑۞๑ raka 11 mager tapi tetep nonton vibesnya enak 11
sample_benign_0055,TemanLive,user0055@example.com,22500,Transfer,Trakteer,Gue suka vibes live ini lanjut konten positif!,benign,TemanLive Gue suka vibes live ini lanjut konten positif! temanlive gue suka vibes live ini lanjut konten positifi
sample_benign_0056,Dina,user0056@example.com,25000,QRIS,Saweria,mantul mainnya cuy aja dulu,benign,Dina mantul mainnya cuy aja dulu dina mantul mainnya cuy aja dulu
sample_benign_0057,Mira,user0057@example.com,27500,E-Wallet,DemoPay,Mode santai dulu semoga target tercapai,benign,Mira Mode santai dulu semoga target tercapai mira mode santai dulu semoga target tercapai
sample_benign_0058,Salsa,user0058@example.com,30000,Virtual Account,Kondomatur,bestie streamnya ramein dong asli ini seru,benign,Salsa bestie streamnya ramein dong asli ini seru salsa bestie streamnya ramein dong asli ini seru
sample_benign_0059,TimSupport,user0059@example.com,32500,Transfer,Trakteer,Mantap gameplay-nya request baca chat dong,benign,TimSupport Mantap gameplay-nya request baca chat dong timsupport mantap gameplaynya request baca chat dong
sample_benign_0060,Budi,user0060@example.com,35000,QRIS,Saweria,💙 wkwk wkwkwk ngakak parah cmiiw ya ya haha 💙,benign,Budi 💙 wkwk wkwkwk ngakak parah cmiiw ya ya haha 💙 budi wkwk wkwkwk ngakak parah cmiiw ya ya haha
sample_benign_0061,Nina,user0061@example.com,37500,E-Wallet,DemoPay,Good luck match berikutnya untuk beli snack,benign,Nina Good luck match berikutnya untuk beli snack nina good luck match berikutnya untuk beli snack
sample_benign_0062,KopiSore,user0062@example.com,40000,Virtual Account,Kondomatur,nt bang next menang ygy,benign,KopiSore nt bang next menang ygy kopisore nt bang next menang ygy
sample_benign_0063,Fajar,user0063@example.com,42500,Transfer,Trakteer,Gw dukung terus semoga harimu lancar,benign,Fajar Gw dukung terus semoga harimu lancar fajar gw dukung terus semoga harimu lancar
sample_benign_0064,Doni,user0064@example.com,45000,QRIS,Saweria,btw audio lu udah enak lowkey suka konten ini,benign,Doni btw audio lu udah enak lowkey suka konten ini doni btw audio lu udah enak lowkey suka konten ini
sample_benign_0065,NontonSantai,user0065@example.com,47500,E-Wallet,DemoPay,Buat beli kopi bwt support live hari ini,benign,NontonSantai Buat beli kopi bwt support live hari ini nontonsantai buat beli kopi bwt support live hari ini
sample_benign_0066,AnakRank,user0066@example.com,50000,Virtual Account,Kondomatur,✨ ping aman bang lanjut nih buat kopi ✨!,benign,AnakRank ✨ ping aman bang lanjut nih buat kopi ✨! anakrank ping aman bang lanjut nih buat kopi i
sample_benign_0067,Ayu,user0067@example.com,52500,Transfer,Trakteer,Akhirnya bisa nonton lagi lanjut konten positif,benign,Ayu Akhirnya bisa nonton lagi lanjut konten positif ayu akhirnya bisa nonton lagi lanjut konten positif
sample_benign_0068,ViewerBaik,user0068@example.com,55000,QRIS,Saweria,pecah banget live hari ini #168,benign,ViewerBaik pecah banget live hari ini #168 viewerbaik pecah banget live hari ini #168
sample_benign_0069,RuangChat,user0069@example.com,57500,E-Wallet,DemoPay,Bang jangan lupa makan semoga target tercapai,benign,RuangChat Bang jangan lupa makan semoga target tercapai ruangchat bang jangan lupa makan semoga target tercapai
sample_benign_0070,Lia,user0070@example.com,60000,Virtual Account,Kondomatur,lo keren bgt pas clutch plis lanjut haha,benign,Lia lo keren bgt pas clutch plis lanjut haha lia lo keren bgt pas clutch plis lanjut haha
sample_benign_0071,Bagas,user0071@example.com,62500,Transfer,Trakteer,Kontennya rapi request baca chat dong,benign,Bagas Kontennya rapi request baca chat dong bagas kontennya rapi request baca chat dong
sample_benign_0072,PenontonSetia,user0072@example.com,65000,QRIS,Saweria,noob friendly banget kontennya beneran bagus,benign,PenontonSetia noob friendly banget kontennya beneran bagus penontonsetia noob friendly banget kontennya beneran bagus
sample_benign_0073,SahabatStream,user0073@example.com,67500,E-Wallet,DemoPay,GG maennya untuk beli snack,benign,SahabatStream GG maennya untuk beli snack sahabatstream gg maennya untuk beli snack
sample_benign_0074,Raka,user0074@example.com,70000,Virtual Account,Kondomatur,relate bgt sama ceritanya no debat sih,benign,Raka relate bgt sama ceritanya no debat sih raka relate bgt sama ceritanya no debat sih
sample_benign_0075,TemanLive,user0075@example.com,10000,Transfer,Trakteer,wkwk Thanks hiburannya semoga harimu lancar,benign,TemanLive wkwk Thanks hiburannya semoga harimu lancar temanlive wkwk thanks hiburannya semoga harimu lancar
sample_benign_0076,Dina,user0076@example.com,12500,QRIS,Saweria,cape ngakak liat chat deh mantap,benign,Dina cape ngakak liat chat deh mantap dina cape ngakak liat chat deh mantap
sample_benign_0077,Mira,user0077@example.com,15000,E-Wallet,DemoPay,Clip tadi lucu bgt bwt support live hari ini!,benign,Mira Clip tadi lucu bgt bwt support live hari ini! mira clip tadi lucu bgt bwt support live hari inii
sample_benign_0078,Salsa,user0078@example.com,17500,Virtual Account,Kondomatur,๑۞๑ smngt bang wkwk random tapi lucu ๑۞๑,benign,Salsa ๑۞๑ smngt bang wkwk random tapi lucu ๑۞๑ salsa 11 smngt bang wkwk random tapi lucu 11
sample_benign_0079,TimSupport,user0079@example.com,20000,Transfer,Trakteer,Support kecil dari gue lanjut konten positif,benign,TimSupport Support kecil dari gue lanjut konten positif timsupport support kecil dari gue lanjut konten positif
sample_benign_0080,Budi,user0080@example.com,22500,QRIS,Saweria,gaskeun mabar kapan-kapan dong baca chat deh haha,benign,Budi gaskeun mabar kapan-kapan dong baca chat deh haha budi gaskeun mabar kapankapan dong baca chat deh haha
sample_benign_0081,Nina,user0081@example.com,25000,E-Wallet,DemoPay,Bantu sedikit ya semoga target tercapai,benign,Nina Bantu sedikit ya semoga target tercapai nina bantu sedikit ya semoga target tercapai
sample_benign_0082,KopiSore,user0082@example.com,27500,Virtual Account,Kondomatur,spill build item dong ga boong,benign,KopiSore spill build item dong ga boong kopisore spill build item dong ga boong
sample_benign_0083,Fajar,user0083@example.com,30000,Transfer,Trakteer,Request lagu dong request baca chat dong,benign,Fajar Request lagu dong request baca chat dong fajar request lagu dong request baca chat dong
sample_benign_0084,Doni,user0084@example.com,32500,QRIS,Saweria,💙 mantep bet clutch tadi otw nonton sampe selesai 💙,benign,Doni 💙 mantep bet clutch tadi otw nonton sampe selesai 💙 doni mantep bet clutch tadi otw nonton sampe selesai
sample_benign_0085,NontonSantai,user0085@example.com,35000,E-Wallet,DemoPay,Kamera sudah jelas untuk beli snack #185,benign,NontonSantai Kamera sudah jelas untuk beli snack #185 nontonsantai kamera sudah jelas untuk beli snack #185
sample_benign_0086,AnakRank,user0086@example.com,37500,Virtual Account,Kondomatur,makasih udh nemenin malem ini lah kok bisa,benign,AnakRank makasih udh nemenin malem ini lah kok bisa anakrank makasih udh nemenin malem ini lah kok bisa
sample_benign_0087,Ayu,user0087@example.com,40000,Transfer,Trakteer,Gaskeun sampai selesai semoga harimu lancar,benign,Ayu Gaskeun sampai selesai semoga harimu lancar ayu gaskeun sampai selesai semoga harimu lancar
sample_benign_0088,ViewerBaik,user0088@example.com,42500,QRIS,Saweria,skuy ranked lagi vibesnya enak!,benign,ViewerBaik skuy ranked lagi vibesnya enak! viewerbaik skuy ranked lagi vibesnya enaki
sample_benign_0089,RuangChat,user0089@example.com,45000,E-Wallet,DemoPay,Gua suka vibes live ini bwt support live hari ini,benign,RuangChat Gua suka vibes live ini bwt support live hari ini ruangchat gua suka vibes live ini bwt support live hari ini
sample_benign_0090,Lia,user0090@example.com,47500,Virtual Account,Kondomatur,✨ wkwk gokil sih gameplay lu aja dulu haha ✨,benign,Lia ✨ wkwk gokil sih gameplay lu aja dulu haha ✨ lia wkwk gokil sih gameplay lu aja dulu haha
sample_benign_0091,Bagas,user0091@example.com,50000,Transfer,Trakteer,Mode santai dulu lanjut konten positif,benign,Bagas Mode santai dulu lanjut konten positif bagas mode santai dulu lanjut konten positif
sample_benign_0092,PenontonSetia,user0092@example.com,52500,QRIS,Saweria,gw dukung terus bang asli ini seru,benign,PenontonSetia gw dukung terus bang asli ini seru penontonsetia gw dukung terus bang asli ini seru
sample_benign_0093,SahabatStream,user0093@example.com,55000,E-Wallet,DemoPay,Mantap gameplay-nya semoga target tercapai,benign,SahabatStream Mantap gameplay-nya semoga target tercapai sahabatstream mantap gameplaynya semoga target tercapai
sample_benign_0094,Raka,user0094@example.com,57500,Virtual Account,Kondomatur,carry terus bang cmiiw ya,benign,Raka carry terus bang cmiiw ya raka carry terus bang cmiiw ya
sample_benign_0095,TemanLive,user0095@example.com,60000,Transfer,Trakteer,Good luck match berikutnya request baca chat dong,benign,TemanLive Good luck match berikutnya request baca chat dong temanlive good luck match berikutnya request baca chat dong
sample_benign_0096,Dina,user0096@example.com,62500,QRIS,Saweria,seru bet nontonnya ygy,benign,Dina seru bet nontonnya ygy dina seru bet nontonnya ygy
sample_benign_0097,Mira,user0097@example.com,65000,E-Wallet,DemoPay,Gue dukung terus untuk beli snack,benign,Mira Gue dukung terus untuk beli snack mira gue dukung terus untuk beli snack
sample_benign_0098,Salsa,user0098@example.com,67500,Virtual Account,Kondomatur,jgn lupa makan ya lowkey suka konten ini,benign,Salsa jgn lupa makan ya lowkey suka konten ini salsa jgn lupa makan ya lowkey suka konten ini
sample_benign_0099,TimSupport,user0099@example.com,70000,Transfer,Trakteer,Buat beli kopi semoga harimu lancar!,benign,TimSupport Buat beli kopi semoga harimu lancar! timsupport buat beli kopi semoga harimu lancari
sample_benign_0100,Budi,user0100@example.com,10000,QRIS,Saweria,ciye menang terus nih buat kopi dong haha,benign,Budi ciye menang terus nih buat kopi dong haha budi ciye menang terus nih buat kopi dong haha
sample_benign_0101,Nina,user0101@example.com,12500,E-Wallet,DemoPay,Akhirnya bisa nonton lagi bwt support live hari ini,benign,Nina Akhirnya bisa nonton lagi bwt support live hari ini nina akhirnya bisa nonton lagi bwt support live hari ini
sample_benign_0102,KopiSore,user0102@example.com,15000,Virtual Account,Kondomatur,๑۞๑ santuy aja bang ๑۞๑ #202,benign,KopiSore ๑۞๑ santuy aja bang ๑۞๑ #202 kopisore 11 santuy aja bang 11 #202
sample_benign_0103,Fajar,user0103@example.com,17500,Transfer,Trakteer,Bang jangan lupa makan lanjut konten positif,benign,Fajar Bang jangan lupa makan lanjut konten positif fajar bang jangan lupa makan lanjut konten positif
sample_benign_0104,Doni,user0104@example.com,20000,QRIS,Saweria,gabut jadi nonton live ini plis lanjut,benign,Doni gabut jadi nonton live ini plis lanjut doni gabut jadi nonton live ini plis lanjut
sample_benign_0105,NontonSantai,user0105@example.com,22500,E-Wallet,DemoPay,wkwk Kontennya rapi semoga target tercapai,benign,NontonSantai wkwk Kontennya rapi semoga target tercapai nontonsantai wkwk kontennya rapi semoga target tercapai
sample_benign_0106,AnakRank,user0106@example.com,25000,Virtual Account,Kondomatur,semangatt ngab beneran bagus,benign,AnakRank semangatt ngab beneran bagus anakrank semangatt ngab beneran bagus
sample_benign_0107,Ayu,user0107@example.com,27500,Transfer,Trakteer,GG maennya request baca chat dong,benign,Ayu GG maennya request baca chat dong ayu gg maennya request baca chat dong
sample_benign_0108,ViewerBaik,user0108@example.com,30000,QRIS,Saweria,💙 sabi request lagu ga no debat sih 💙,benign,ViewerBaik 💙 sabi request lagu ga no debat sih 💙 viewerbaik sabi request lagu ga no debat sih
sample_benign_0109,RuangChat,user0109@example.com,32500,E-Wallet,DemoPay,Makasih hiburannya untuk beli snack,benign,RuangChat Makasih hiburannya untuk beli snack ruangchat makasih hiburannya untuk beli snack
sample_benign_0110,Lia,user0110@example.com,35000,Virtual Account,Kondomatur,kok bisa jago gitu sih deh mantap haha!,benign,Lia kok bisa jago gitu sih deh mantap haha! lia kok bisa jago gitu sih deh mantap hahai
sample_benign_0111,Bagas,user0111@example.com,37500,Transfer,Trakteer,Clip tadi lucu bet semoga harimu lancar,benign,Bagas Clip tadi lucu bet semoga harimu lancar bagas clip tadi lucu bet semoga harimu lancar
sample_benign_0112,PenontonSetia,user0112@example.com,40000,QRIS,Saweria,ggwp bang no debat random tapi lucu,benign,PenontonSetia ggwp bang no debat random tapi lucu penontonsetia ggwp bang no debat random tapi lucu
sample_benign_0113,SahabatStream,user0113@example.com,42500,E-Wallet,DemoPay,Support kecil dari gua bwt support live hari ini,benign,SahabatStream Support kecil dari gua bwt support live hari ini sahabatstream support kecil dari gua bwt support live hari ini
sample_benign_0114,Raka,user0114@example.com,45000,Virtual Account,Kondomatur,✨ thx bang udah live dong baca chat ✨,benign,Raka ✨ thx bang udah live dong baca chat ✨ raka thx bang udah live dong baca chat
sample_benign_0115,TemanLive,user0115@example.com,47500,Transfer,Trakteer,Bantu sedikit ya lanjut konten positif,benign,TemanLive Bantu sedikit ya lanjut konten positif temanlive bantu sedikit ya lanjut konten positif
sample_benign_0116,Dina,user0116@example.com,50000,QRIS,Saweria,lag dikit tapi aman ga boong,benign,Dina lag dikit tapi aman ga boong dina lag dikit tapi aman ga boong
sample_benign_0117,Mira,user0117@example.com,52500,E-Wallet,DemoPay,Request lagu dong semoga target tercapai,benign,Mira Request lagu dong semoga target tercapai mira request lagu dong semoga target tercapai
sample_benign_0118,Salsa,user0118@example.com,55000,Virtual Account,Kondomatur,anjay keren bgt otw nonton sampe selesai,benign,Salsa anjay keren bgt otw nonton sampe selesai salsa anjay keren bgt otw nonton sampe selesai
sample_benign_0119,TimSupport,user0119@example.com,57500,Transfer,Trakteer,Kamera sudah jelas request baca chat dong #219,benign,TimSupport Kamera sudah jelas request baca chat dong #219 timsupport kamera sudah jelas request baca chat dong #219
sample_benign_0120,Budi,user0120@example.com,60000,QRIS,Saweria,wkwk gua nonton dari awal nih lah kok bisa bestie haha,benign,Budi wkwk gua nonton dari awal nih lah kok bisa bestie haha budi wkwk gua nonton dari awal nih lah kok bisa bestie haha
sample_benign_0121,Nina,user0121@example.com,62500,E-Wallet,DemoPay,Gaskan sampai selesai untuk beli snack!,benign,Nina Gaskan sampai selesai untuk beli snack! nina gaskan sampai selesai untuk beli snacki
sample_benign_0122,KopiSore,user0122@example.com,65000,Virtual Account,Kondomatur,ez tapi tetep humble vibesnya enak,benign,KopiSore ez tapi tetep humble vibesnya enak kopisore ez tapi tetep humble vibesnya enak
sample_benign_0123,Fajar,user0123@example.com,67500,Transfer,Trakteer,Gw suka vibes live ini semoga harimu lancar,benign,Fajar Gw suka vibes live ini semoga harimu lancar fajar gw suka vibes live ini semoga harimu lancar
sample_benign_0124,Doni,user0124@example.com,70000,QRIS,Saweria,auto ngakak pas tadi aja dulu,benign,Doni auto ngakak pas tadi aja dulu doni auto ngakak pas tadi aja dulu
sample_benign_0125,NontonSantai,user0125@example.com,10000,E-Wallet,DemoPay,Mode santai dulu bwt support live hari ini,benign,NontonSantai Mode santai dulu bwt support live hari ini nontonsantai mode santai dulu bwt support live hari ini
sample_benign_0126,AnakRank,user0126@example.com,12500,Virtual Account,Kondomatur,๑۞๑ gpp kalah yang penting fun asli ini seru ๑۞๑,benign,AnakRank ๑۞๑ gpp kalah yang penting fun asli ini seru ๑۞๑ anakrank 11 gpp kalah yang penting fun asli ini seru 11
sample_benign_0127,Ayu,user0127@example.com,15000,Transfer,Trakteer,Mantap gameplay-nya lanjut konten positif,benign,Ayu Mantap gameplay-nya lanjut konten positif ayu mantap gameplaynya lanjut konten positif
sample_benign_0128,ViewerBaik,user0128@example.com,17500,QRIS,Saweria,afk bentar tetep support cmiiw ya,benign,ViewerBaik afk bentar tetep support cmiiw ya viewerbaik afk bentar tetep support cmiiw ya
sample_benign_0129,RuangChat,user0129@example.com,20000,E-Wallet,DemoPay,Good luck match berikutnya semoga target tercapai,benign,RuangChat Good luck match berikutnya semoga target tercapai ruangchat good luck match berikutnya semoga target tercapai
sample_benign_0130,Lia,user0130@example.com,22500,Virtual Account,Kondomatur,kuy lanjut satu match lagi ygy haha,benign,Lia kuy lanjut satu match lagi ygy haha lia kuy lanjut satu match lagi ygy haha
sample_benign_0131,Bagas,user0131@example.com,25000,Transfer,Trakteer,Gua dukung terus request baca chat dong,benign,Bagas Gua dukung terus request baca chat dong bagas gua dukung terus request baca chat dong
